storeName
Bat Cave - 6B
Hale & Hearty
Café Zaiya
Sophie's
Katagiri
Fresh&Co
SweetGreen
Stone Bridge
Essen
Sunrise Mart
Chick Fil A
Shake Shack
Thai spot
Dig Inn
Momosan
Poke Works
Chop't
Chipotle
Omar's
Toto Ramen
Xi'An
That Noodle Place
